,text,type
0,know,T
1,use scale quantify much love someone,T
2,say efficient way deliver message accurate possible,T
3,know thinker girl kiss ask,T
4,im never kiss thinker,T
5,want move planet vulcan want surround people infuriatingly illogical time,T
6,funny nf purposefully illogical around nt know annoy much really quite amusing thing get frustrated cute tongue,T
7,think men emotional would infinitely rich dime every time lament make sense know thinker mean emotional capacity feeler use often result never figure express emotion experience,T
8,napoleptic say know thinker mean emotional capacity feeler use often result never figure express emotion experience well put add anything moment without repeat say thank know thinker mistake friend joking comment serious observation e g friend comment jokingly little crazy reply live fine also must provide example comment back generalization e g see,T
9,start topic sentence dementia absentia say use scale quantify much love someone hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail,T
