text,type
know,T
use scale quantify much love someone,T
say efficient way deliver message accurate possible,T
know thinker girl kiss ask,T
im never kiss thinker,T
want move planet vulcan want surround people infuriatingly illogical time,T
funny nf purposefully illogical around nt know annoy much really quite amusing thing get frustrated cute tongue,T
think men emotional would infinitely rich dime every time lament make sense know thinker mean emotional capacity feeler use often result never figure express emotion experience,T
napoleptic say know thinker mean emotional capacity feeler use often result never figure express emotion experience well put add anything moment without repeat say thank know thinker mistake friend joking comment serious observation e g friend comment jokingly little crazy reply live fine also must provide example comment back generalization e g see,T
start topic sentence dementia absentia say use scale quantify much love someone hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail,T
ok gunna stop cause gunna end page long post mean put start post startingto add meny quote almost funny almost go oh wait pile quote like quote quote wounder something mess somewhere darner say start topic sentence hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail click expand well first part quote know happend second part yah say method fail get ta say interesting idea van say rarely angry feeler type friend always ask angry make angry get really determine show would right wow see alot carttons game stuff might somethinglike ask rediculously alot dear sigmund say would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything man would love feeler also like stratagy would fun stratagy everything cman say analyze classify emotional state better understand almost robot cept robot emotion begin cereszal say someone talk think clever response say time say come differently expect xd hope thing lmao think cause exayevie say know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite wow well keep everything say exayevie say get trouble often accuse parent senseless anything actually ha hahahahaha would thsat pure freakin funof real well usually say quote mom really freakin smart honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat say feeler infps sometimes call dreamer one place describe vary thin exstreamly easly transversable line dream reality alot really mojo jojo say finally feel kind emotion blame hypoglycemia allergic reaction wow cartoon thing right uber smart guy walkin road strange feeling explain finally blaimes solar flare something call emotion idiot thewaffle say know respond spontaneous display affection hm girl know week enjoy talk different thing like get stuff chest mybe bounce idea someone listen go hour one day come right tell love instant swallow face fell floor still statue slightest clue think ask love back know say cryd week actually happen together sedna say suddenly realize speak word three day go longer day lot time calmgreen say feel depress reason conclude enough breakfast hm mean simply cause love eat xd theclog say way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose super duper diddily uber omega catroon video game nerd dork geek referance example nerd see pretty girl get weird feeling wounders wtf go go shaky knee swetty palm qweasy stomick could call love stand alone say think well nice day anyway funeral think nice day funeral mojo jojo say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj actually think want kid reason simply mean full darner say cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery want scientific explination probably involve chemical release brain respons emotional reaction something ceembee say feel need respond every argument rational conclusion may reach crazy reason one interested want add two wan na see go end add stir trouble anything add argue ment ever comment say smart end add get conclusion want freakin shut heck already seriously start tick maybe good handelling pressure actually think end add quote post like point sorry click expand,T
rarely angry feeler type friend always ask angry make angry get really determine show would right,T
thinker way lot thinker get piss easily example estj,T
would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything,T
wow know well,T
analyze classify emotional state better understand,T
relate much especially get role literally notebook fill comparison emotional state anecdotal definition portray lol,T
certain people confuse thing logical manner realize people question feel type,T
tash say certain people confuse thing logical manner realize people question feel type,T
someone talk think clever response say time say come differently expect xd hope thing lmao,T
know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite,T
lmao sure tj,T
get trouble often accuse parent senseless anything actually,T
rt man spend whole childhood like confuse something seemingly good reason felt way ugh,T
sometimes hear someone call name lose thought look forward trip want think long ride pick window seat,T
hehe first one always hear people call name ignore think side totally love window seat though,T
finally feel kind emotion blame hypoglycemia allergic reaction,T
know respond spontaneous display affection,T
suddenly realize speak word three day,T
people keep say care actually show way expect personal experience,T
difficult accept may thing good logical explanation,T
true logical explanation everything everything dx well whether consider good hard judge upon,T
feel depress reason conclude enough breakfast,T
crazy true fact morning kind blah automatically figure consume omega fat nearly week eat flaxseed,T
way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose,T
think well nice day anyway funeral,T
sure want kid think logical reason,T
sure want kid think world need rational thinker,T
cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery,T
remember read subject long time ago think chemical something tear release make feel better revisit memory write make much sense sorry certain research entropie say know thinker joke start offend people xd video still get people find funny mean know emotional side separate people sense humor,T
want know logic behind someone like dislike someone something,T
apologize someone explain like dislike something reason illogical realize actually care reason,T
put room ask think way stop entire world collapse week coolly calmly collectedly put room cry year old child lose,T
first need cry child control necessary want hope develop anti cry method experimentation,T
honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat hehe first one always hear people call name ignore think side totally love window seat though,T
way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose,T
calmgreen say feel depress reason conclude enough breakfast crazy true fact morning kind blah automatically figure consume omega fat nearly week eat flaxseed,T
think well nice day anyway funeral,T
sure want kid think logical reason,T
napoleptic say sure want kid think logical reason sure want kid think world need rational thinker,T
ceembee say sure want kid think world need rational thinker first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj,T
cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery,T
god say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj feel need respond every argument rational conclusion may reach crazy accept mbti type may necessarily genetic influence parent surround child intellectual opportunity allow encourage develop ti te even serve dominant function,T
ceembee say feel need respond every argument rational conclusion may reach crazy accept mbti type may necessarily genetic influence parent surround child intellectual opportunity allow encourage develop ti te even serve dominant function click expand also realize excess parentless kid go waste foster care system also plant ti te preexisting kid adopt p,T
want know logic behind someone like dislike someone something,T
calmgreen say feel depress reason conclude enough breakfast great mood earlier start sneeze make perfect sense find f insensitive bad guy obviously nothing wrong oh shit something really good lose thought dry,T
put room ask think way stop entire world collapse week coolly calmly collectedly put room cry year old child lose,T
dementia absentia say want know logic behind someone like dislike someone something apologize someone explain like dislike something reason illogical realize actually care reason,T
angry person issue problem person think angry,T
napoleptic say apologize someone explain like dislike something reason illogical realize actually care reason bother like dislike something without logical reason,T
thinker respond feel question youtube big bang theory penny sheldon talk,T
someone ask feel respond let get back think,T
dementia absentia say want know logic behind someone like dislike someone something damn ninja act mediator bug two people mad illogical reason get mistake feeler already work easier therefore logical diplomatic get yell unstably emotional people play devil advocate simply like get people think rationally belief,T
feeling lack subtle nuance strongly f type good feeling neutral feeling bad feeling,T
ionofaeons say damn ninja act mediator bug two people mad illogical reason get mistake feeler already work easier therefore logical diplomatic get yell unstably emotional people play devil advocate simply like get people think rationally belief click expand think feeler easier smile nod like clockwork get back alternatively respond bluntly spend hour engaging pointless scream match risk psycho break stuff sully reputation screw long run,T
ask reflect emotion sentence begin think think sad think nervous sugercoat truth others tell way choose stranger close friend argument stranger right,T
go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense,T
dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense never let say incapable altruistic,T
dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense ft ceo logical thing would stay logical company logical bank account oh yeah unless company impeding danger instance company risk sue bankrupt etc gtfo,T
god say think feeler easier smile nod like clockwork get back alternatively respond bluntly spend hour engaging pointless scream match risk psycho break stuff sully reputation screw long run exactly see logical need convince stubborn people anything since endless go argument painful hardly sensible enjoy scream try avoid people opinion seem thinker find douche bag fun wrong douche bag enjoy douche bag get rise piss people think operate inferior feel rather think tbh,T
min thought coma,T
know thinker see table still decide eat,T
feeler want eat,T
would thinker,T
darner say feeler want eat feel thing like rub know logically state thinker eat yes eat nespresso else,T
think think think think manner think determine thinking require modification like internal intellectual conversation laugh,T
musique say think think think think manner think determine thinking require modification like internal intellectual conversation laugh someone hey dude fuck talk yes im intelligent discussion,T
people always ask never happy reality perfectly content,T
read post thread able figure poster real thinker poster fake thinker mistype,T
wickedqueen say read post thread able figure poster real thinker poster fake thinker mistype look,T
absent air say feel thing like rub know logically state thinker eat yes eat nespresso else know absent air see already eat,T
brain,T
dementia absentia say difficult accept may thing good logical explanation true logical explanation everything everything dx well whether consider good hard judge upon,T
realize beatles wrong love need,T
put finger quite whats wrong enfp friend explain angry someone disrespect,T
darner say feeler want eat feel sorry cooky hurt eat munch cookie right,T
wedding funeral cry happy sad organizer could get better deal,T
devoid emotion something sad happens,T
discover say feel like think make sense say think like feel interest,T
darner say discover say feel like think make sense say think like feel interest pedant sure sense think like feel would loosely end mean capacity thinking unlike capacity feel pedant wink annoy,T
uwace say devoid emotion something sad happen think sociopath laughing,T
musique say think think think think manner think determine thinking require modification like internal intellectual conversation laugh disagree thought process think may n something else dom fe enfj analyze thought process least day usually multiple time day lol well thought process everyone around think may part reason enfj scary intuition almost read mind muah ha ha seriously though heart adorable group always know thanks logic,T
well bit younger use use bar graph head represent much need go bathroom,T
linnifae say think sociopath laugh totally impossible occasionally guess peaceful defence cop mechanism willing admit,T
someone ask want eat insert food name reply hold let take couple second think would taste moment alright yes would like,T
emotion bottle ignore suddenly explode instead talk someone go outside baseball bat hit tree dont feel angry anymore usually take min haha back rational rid emotion,T
come good reason bash post illogical,T
f ask another friend relationship good answer stop f brant without feeling idea problem something make feel bad stop,T
darner say f ask another friend relationship good answer stop f brant without feeling idea problem something make feel bad stop f friend run away tear,T
dear sigmund say f friend run away tear worse f friend listen advice run away problem instead face deal properly,T
knowyourenemy say worse f friend listen advice run away problem instead face deal properly eventually lead f friend tear,T
darksoul say eventually lead f friend tear lead f gaining strength confidence conflict control knowledge problem ever arise future cry powerful way process emotion run away create inner conflict witch surface later much violent way run problem afraid negative emotion sorry last topic post thread,T
haha absent air say someone hey dude fuck talk yes im intelligent discussion love happen lot,T
even work muscle must math short story one day think would good idea fill l bottle gallon water water density equal one therefore ml water g bottle alone would weight around kg bottle come completely fill around pound friend tell weight lift light counter say make set around rep time end lift basically weight use kg set rep use kg rep kg set kg set course lazy work drop couple week afterwards,T
shut deep thinking turn music dance dance dance artsy know know,T
jade velly say shut deep thinking turn music dance dance dance artsy know know previous attempt dance end flail limb misplaced step pretty sad artsy creative yes artsy much give though,T
thinker love thinker one best friend thinker use hate side seem suppress emotion would drive crazy past year learn appreciate much provide support stability overcome feeling moment life last year thing bad know deal learn find balance envious thinker may tease call touchy feely still love guy,T
think tell think much lot way challenge comer come top ten list think could poll topic busy think lot others organize main reason come post comment subject say write poem like idea conscious seem always mind often elude know seek seem seek someone else could exist without awareness ask idea conscious come realization want control thought sit around think quit think much like say control mind figure quit think whether awake asleep control idea come go think poem lend idea also realize finally part gift collection thought signature explanation zen buddhist reason try fall live world tell possibly genius normal feasible insane try keep balance,T
difficult plan anticipate illogical human nature,T
hilarious love,T
know logical explanation find yet give time,T
cereszal say angry person issue problem person think angry hear statement like think frictious moment people really care statement preach choir go mind,T
darner say bother like dislike something without logical reason bout like dislike something know still bother turn bother think quit think thank god distraction,T
constructive criticism could make one large post rather several smaller post laugh,T
nameno say bout like dislike something know still bother turn bother think quit think thank god distraction bout start think reply post worried someone might think try top last guy think way prove case,T
would think thinker entertain thought simply reply post wonder people think hope somehow dredge depth soul compelling thought need like food drug laugh crazy happy,T
thing world truly confuses feeling type manage function,T
feel distress whirlwind emotion whatever cause first place,T
start feel irritable want rage everyone check calendar realize pm ing bam rage go somehow think applies male however,T
assess f type show emotion use successfully replicate number situation use think long last begin understand emotion girlfriend ask feeling think oh everything go piece last man leave stand cool head proud,T
nameno say would think thinker entertain thought simply reply post wonder people think hope somehow dredge depth soul compelling thought need like food drug laugh crazy happy click expand think might manic depressive doctor,T
zdorobot say start feel irritable want rage everyone check calendar realize pm ing bam rage go somehow think applies male however know thinker emotion lessen dramatically identify source eight letter strike fear heart every man woman child intj w pm crazy apparently fairly good job hide fact thisclose explode rage work bos three year finally convince pm actually exist since never clearly head angry,T
wish people would give away computer like error message everytime something wrong bad read signal,T
darner say wish people would give away computer like error message everytime something wrong bad read signal work accidentally stomp people feeling wish neon sign would appear someone head word say hurt want hurt idea win,T
learn deal emotion people understand logic behind existence able deduce cause seriously people claim emotion illogical always reason behind might seem utterly bizarre irrational place unexplained explosive anger frequently defense mechanism even know intuitively someone cry always something cause cry,T
know thinker someone ask marry respond think note ask question hopefully response hahaha,T
chance say thinker love thinker one best friend thinker use hate side seem suppress emotion would drive crazy past year learn appreciate much provide support stability overcome feeling moment life last year thing bad know deal learn find balance envious thinker may tease call touchy feely still love guy click expand love u ok please hug,T
love fact information love people tongue,T
someone hug realize rational action speculate hidden motive might,T
lokkye say someone hug realize rational action speculate hidden motive might fuck hate get random hug,T
math teacher refers mr spock often real name,T
ginnyisdacoolest say math teacher refers mr spock often real name fact female make statement twice awesome laughing,T
create list one,T
people come insane emotional rant complain different insane emotional rant others think irrational action explain difference fault view everything subjectively,T
dementia absentia say create list one make really big decision love,T
actually make list like already year ago sure pro con method trustworthy,T
dementia absentia say create list one instinct always better reason since tongue,T
father get hug kid ask much money want laugh,T
ionofaeons say learn deal emotion people understand logic behind existence able deduce cause seriously people claim emotion illogical always reason behind might seem utterly bizarre irrational place unexplained explosive anger frequently defense mechanism even know intuitively someone cry always something cause cry click expand thanks share one best thinker posting read uncle nt spend whole life battle emotion critical towards others even end life day pas ask family together something never healthy emotional still make sad reflect talk life opinion wasted one ready die realize never live talk idea important life yet end life want family apposed give receive love want love feel love end day love important idea aware always love even lovable sorry get topic please forgive move thanks,T
feeler friend simultaneously love ask advice see fog emotion obfuscate view yet also hat logical feeling,T
dementia absentia say create list one afraid go ask quantitative proof third statement con list wink,T
perfectly normal conversation something suddenly pull might start cry thing know stare fixedly forget blink glassy eye oh shit come try immediately erase awkwardness awkwardly pat fuck collapse hug murmur happy sad memory,T
u hate idiot,T
god say also realize excess parentless kid go waste foster care system also plant ti te preexisting kid adopt p use statement carry debate dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense seem kind paradoxical seem logical get rid someone kind dedication job,T
eylrid say use statement carry debate use smartass lol nice irony signature btw,T
rockthered say make really big decision love bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality,T
lib say father get hug kid ask much money want laugh uncle use tell kid fifty dollar hug,T
muchaparadox say thanks share one best thinker posting read uncle nt spend whole life battle emotion critical towards others even end life day pas ask family together something never healthy emotional still make sad reflect talk life opinion wasted one ready die realize never live talk idea important life yet end life want family apposed give receive love want love feel love end day love important idea aware always love even lovable sorry get topic please forgive move thanks click expand idea life love needing together make either worth show power importance idea important love life three need read bottom part signature perhaps shed light people treat life great proverb personality like mine vengeance mine say lord even choose use human instrument write man shed man blood man shall man blood shed mean would consider possibility one take justice hand,T
nameno say bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality click expand seriously know intps get anything mean think think thing death come decision j,T
first response emotion sit think mean,T
nameno say bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality click expand istp actually overthinking really help feel positive make right decision,T
napoleptic say seriously know intps get anything mean think think thing death come decision j get stuff get got x make feel question test think thought pointless question,T
napoleptic say seriously know intps get anything mean think think thing death come decision j others say pretty much laugh,T
valentine receive trigger kind positive emotional reaction one write hexadecimal code true story refer happy positive emotional reaction crazy,T
happen time especially lately since one friend constant love hate relationship dude never meet really care much,T
know thinking regularly make point think profound thing post others think cause thought depth turn anyone wan na ride merry go round laugh,T
hear joke someone something rather irrational want know person thing laugh joke make sense stop question laugh instead needless say friend hate,T
themartyparade say hear joke someone something rather irrational want know person thing laugh joke make sense stop question laugh instead needless say friend hate hahaha happen time,T
find think stop thinking upon realization possible unless dead choose go back think mode instead default think mode simply aware surroundings react external stimulus think maybe put enough think,T
illogical argument someone cause intense frustration much mental anguish happy,T
flamingfishman say illogical argument someone cause intense frustration much mental anguish happy,T
understand everybody get mad suggest rational solution emotional,T
get confuse someone say feel like way sure obvious response go feeling whim life would mess since emotion change fly,T
would rather spend sunday afternoon museum another thinker front boob tube get irritate person ask respond know know catch say oh nevermind,T
speak feeler find safest ground say exact opposite want say,T
know thinker theory fit sign,T
play game spot anomalous park significant,T
control situation knowledge surroundings,T
logic idealism,T
